City,State,restaurantCount
Birmingham,Alabama,1
Gardendale,Alabama,1
Opelika,Alabama,1
Anchorage,Alaska,1
Fairbanks,Alaska,1
Palmer,Alaska,1
Mesa,Arizona,11
Phoenix,Arizona,11
Glendale,Arizona,7
Scottsdale,Arizona,6
Tucson,Arizona,6
Peoria,Arizona,5
Chandler,Arizona,4
Gilbert,Arizona,4
Sedona,Arizona,3
Avondale,Arizona,2
Tempe,Arizona,2
El Mirage,Arizona,1
Flagstaff,Arizona,1
Fountain Hills,Arizona,1
Higley,Arizona,1
Litchfield Park,Arizona,1
Maricopa,Arizona,1
Paradise Valley,Arizona,1
Payson,Arizona,1
Surprise,Arizona,1
Winslow,Arizona,1
Sherwood,Arkansas,2
Alma,Arkansas,1
Benton,Arkansas,1
Bentonville,Arkansas,1
Conway,Arkansas,1
Eureka Springs,Arkansas,1
Fayetteville,Arkansas,1
Fort Smith,Arkansas,1
Little Rock,Arkansas,1
Maumelle,Arkansas,1
Siloam Springs,Arkansas,1
Springdale,Arkansas,1
Los Angeles,California,20
San Francisco,California,18
San Diego,California,12
Sacramento,California,7
Huntington Beach,California,5
Oakland,California,5
Anaheim,California,4
Berkeley,California,4
El Segundo,California,4
Carlsbad,California,3
Fountain Valley,California,3
Long Beach,California,3
Newark,California,3
Riverside,California,3
Roseville,California,3
San Jose,California,3
Bakersfield,California,2
Chico,California,2
Costa Mesa,California,2
Cupertino,California,2
Danville,California,2
El Cajon,California,2
Encino,California,2
Granada Hills,California,2
Hanford,California,2
Hemet,California,2
Manteca,California,2
Murrieta,California,2
Oceanside,California,2
Orange,California,2
Palo Alto,California,2
Pasadena,California,2
Petaluma,California,2
Placentia,California,2
Redwood City,California,2
San Bruno,California,2
San Luis Obispo,California,2
Santa Ana,California,2
Santa Barbara,California,2
Santa Clarita,California,2
Santa Monica,California,2
Seal Beach,California,2
South Lake Tahoe,California,2
Sunnyvale,California,2
Thousand Oaks,California,2
Torrance,California,2
Valley Village,California,2
Walnut Creek,California,2
West Covina,California,2
Westminster,California,2
Woodland Hills,California,2
Alameda,California,1
Albany,California,1
Antioch,California,1
Arcadia,California,1
Artesia,California,1
Auburn,California,1
Belmont,California,1
Beverly Hills,California,1
Burlingame,California,1
Campbell,California,1
Canoga Park,California,1
Canyon Country,California,1
Carmichael,California,1
Carson,California,1
Chino,California,1
Coronado,California,1
Daly City,California,1
Dana Point,California,1
Dublin,California,1
Encinitas,California,1
Escondido,California,1
Fairfax,California,1
Fontana,California,1
Fullerton,California,1
Garden Grove,California,1
Gardena,California,1
Glendale,California,1
Glendora,California,1
Goleta,California,1
Hawthorne,California,1
Hayward,California,1
Irvine,California,1
Joshua Tree,California,1
Kingsburg,California,1
La Quinta,California,1
La Verne,California,1
Laguna Niguel,California,1
Lake Elsinore,California,1
Lakewood,California,1
Lodi,California,1
Lomita,California,1
Los Gatos,California,1
Madera,California,1
Manhattan Beach,California,1
Milpitas,California,1
Modesto,California,1
Morgan Hill,California,1
Mountain View,California,1
Newbury Park,California,1
Newport Beach,California,1
Norco,California,1
Northridge,California,1
Ontario,California,1
Oxnard,California,1
Pacifica,California,1
Palm Desert,California,1
Playa del Rey,California,1
Pleasant Hill,California,1
Pleasanton,California,1
Poway,California,1
Rancho Cucamonga,California,1
Redding,California,1
Redondo Beach,California,1
Rocklin,California,1
Rohnert Park,California,1
Salinas,California,1
San Bernardino,California,1
San Carlos,California,1
San Dimas,California,1
San Gabriel,California,1
San Leandro,California,1
San Marcos,California,1
San Ramon,California,1
Santa Cruz,California,1
Santa Rosa,California,1
Sierra Madre,California,1
Simi Valley,California,1
Solana Beach,California,1
Tracy,California,1
Upland,California,1
Valencia,California,1
Ventura,California,1
Visalia,California,1
Vista,California,1
Walnut Grove,California,1
Yucaipa,California,1
Yucca Valley,California,1
Denver,Colorado,7
Boulder,Colorado,4
Fort Collins,Colorado,4
Colorado Springs,Colorado,3
Littleton,Colorado,3
Aurora,Colorado,2
Castle Rock,Colorado,2
Parker,Colorado,2
Alamosa,Colorado,1
Broomfield,Colorado,1
Durango,Colorado,1
Englewood,Colorado,1
Glenwood Springs,Colorado,1
Lafayette,Colorado,1
Lone Tree,Colorado,1
Longmont,Colorado,1
Manitou Springs,Colorado,1
Pagosa Springs,Colorado,1
Salida,Colorado,1
Wheat Ridge,Colorado,1
Bethel,Connecticut,1
Middletown,Delaware,2
Newark,Delaware,2
Lewes,Delaware,1
Millsboro,Delaware,1
Selbyville,Delaware,1
Wilmington,Delaware,1
Orlando,Florida,14
Miami,Florida,10
Tampa,Florida,9
Jacksonville,Florida,8
Fort Lauderdale,Florida,6
Miami Beach,Florida,6
Ocala,Florida,5
Hollywood,Florida,4
Boca Raton,Florida,3
Bradenton,Florida,3
Brandon,Florida,3
Delray Beach,Florida,3
Gainesville,Florida,3
Ormond Beach,Florida,3
Port Orange,Florida,3
Altamonte Springs,Florida,2
Cape Coral,Florida,2
Casselberry,Florida,2
Clearwater,Florida,2
DeLand,Florida,2
Hialeah,Florida,2
Jensen Beach,Florida,2
Melbourne,Florida,2
Naples,Florida,2
New Smyrna Beach,Florida,2
Orange City,Florida,2
Orange Park,Florida,2
Oviedo,Florida,2
Palm Harbor,Florida,2
Pompano Beach,Florida,2
Port Richey,Florida,2
Saint Augustine,Florida,2
Saint Cloud,Florida,2
Tallahassee,Florida,2
Titusville,Florida,2
Venice,Florida,2
Alachua,Florida,1
Apopka,Florida,1
Auburndale,Florida,1
Bartow,Florida,1
Belleview,Florida,1
Boynton Beach,Florida,1
Clermont,Florida,1
Cocoa,Florida,1
Davenport,Florida,1
Deerfield Beach,Florida,1
Fort Myers,Florida,1
Green Cove Springs,Florida,1
Gulf Breeze,Florida,1
Hernando,Florida,1
Jupiter,Florida,1
Key West,Florida,1
